geneName	name	chrom	strand	txStart	txEnd	txSize	cdsStart	cdsEnd	cdsSize
228	NUF2	chr1	+	163291722	163325553	33831	163295841	163325259	29418
1370	DCUN1D5	chr11	-	102921412	102962944	41532	102933087	102962601	29514
1245	C9orf64	chr9	-	86553226	86571663	18437	86554425	86571415	16990
197	GARNL3	chr9	+	130026755	130155828	129073	130027156	130155533	128377
833	RFPL2	chr22	-	32586421	32598537	12116	32586758	32589174	2416
1363	YAP1	chr11	+	101981191	102104154	122963	101981579	102100671	119092
28	FCGR2A	chr1	+	161475204	161489360	14156	161475257	161487938	12681
1229	ATP2C2	chr16	+	84440193	84497793	57600	84442074	84497338	55264
1151	ALB	chr4	+	74269971	74287129	17158	74270044	74286015	15971
587	SOX12	chr20	+	306214	310872	4658	306568	307516	948
925	MMP9	chr20	+	44637546	44645200	7654	44637565	44645007	7442
1041	MS4A2	chr11	+	59856136	59865940	9804	59856238	59863129	6891
606	SNORD117	chr6_dbb_hap3	-	2789730	2789806	76	2789806	2789806	0
1348	PRDM13	chr6	+	100054649	100063454	8805	100054910	100062635	7725
16	MIR548W	chr17	+	60798857	61268734	469877	61268734	61268734	0
699	MIR3179-3	chr16	+	14995364	14995448	84	14995448	14995448	0
81	PMM2	chr16	+	8891669	8943194	51525	8891739	8941682	49943
118	PHKB	chr16	+	47495209	47735434	240225	47495261	47733277	238016
22	RBM19	chr12	-	114259858	114404176	144318	114261028	114404032	143004
79	GLDC	chr9	-	6532463	6645692	113229	6533016	6645499	112483
634	SCNN1A	chr12	-	6456008	6486523	30515	6457038	6486432	29394
1358	BEX5	chrX	-	101408678	101410762	2084	101408901	101409237	336
895	IVD	chr15	+	40697685	40713512	15827	40698019	40710462	12443
175	TBCK	chr4	-	106965473	107237423	271950	106967726	107230117	262391
19	BANP	chr16	+	87993476	88110924	117448	88008721	88110267	101546
1308	SERPINA1	chr14	-	94843083	94857029	13946	94844785	94849574	4789
1720	HSFX2	chrX	+	148855729	148858528	2799	148856339	148858448	2109
193	NCOA7	chr6	+	126111908	126253176	141268	126196075	126249917	53842
86	ETV1	chr7	-	13930855	14026139	95284	13935490	14025801	90311
135	FOSL1	chr11	-	65659691	65667997	8306	65660356	65667810	7454
1432	NREP	chr5	-	111064999	111093793	28794	111066617	111091469	24852
22	NREP	chr5	-	111064999	111312628	247629	111066617	111312436	245819
94	PIWIL2	chr8	+	22133079	22213584	80505	22136899	22213018	76119
92	TPTE2	chr13	-	19997018	20110903	113885	19997201	20077374	80173
93	LAMA3	chr18	+	21452983	21535029	82046	21453008	21534612	81604
111	CDK13	chr7	+	39989958	40136733	146775	39990240	40134579	144339
747	CRYM	chr16	-	21269838	21314404	44566	21270101	21289572	19471
98	CRYBB1	chr22	-	26995361	27013991	18630	26995453	27012283	16830
37	AGAP1	chr2	+	236402732	237040444	637712	236403330	237032766	629436
97	ASXL2	chr2	-	25962252	26101312	139060	25964897	26101091	136194
114	TTC17	chr11	+	43380434	43516483	136049	43380504	43515454	134950
1318	JRKL	chr11	+	96123157	96126727	3570	96123813	96125388	1575
2437	RTP5	chr2	+	242811885	242815482	3597	242811908	242815426	3518
1426	NUDCD1	chr8	-	110253147	110346350	93203	110255237	110346239	91002
1002	LILRA6	chr19	-	54742828	54746610	3782	54742828	54746600	3772
1280	NXNL2	chr9	+	91150015	91190704	40689	91150349	91186107	35758
944	MOB3C	chr1	-	47073386	47080805	7419	47075326	47080748	5422
1811	B3GALNT1	chr3	-	160801670	160823160	21490	160803546	160804542	996
1794	MFSD1	chr3	+	158519714	158547508	27794	158519794	158546771	26977
608	GPANK1	chr6_cox_hap2	-	3138624	3142799	4175	3139661	3141875	2214
980	FAM124A	chr13	+	51796469	51858377	61908	51796637	51855392	58755
95	KLHL7	chr7	+	23145916	23215038	69122	23163419	23213917	50498
956	SLC26A6	chr3	-	48663155	48672926	9771	48663418	48672826	9408
723	MRGPRX4	chr11	+	18194383	18195827	1444	18194803	18195772	969
193	FAM118B	chr11	+	126081618	126132879	51261	126104896	126132028	27132
92	HSFY2	chrY	+	20708556	20710477	1921	20708673	20710357	1684
110	GALM	chr2	+	38893051	38961909	68858	38893303	38960707	67404
109	SYTL5	chrX	+	37865834	37988073	122239	37893142	37985983	92841
739	LOC284865	chr22	-	20186252	20192441	6189	20192441	20192441	0
958	TOB1-AS1	chr17	+	48944039	48945732	1693	48945732	48945732	0
1793	SYNJ2-IT1	chr6	+	158422138	158423415	1277	158423415	158423415	0
1858	RPS6KA2-IT1	chr6	-	166874150	166878871	4721	166878871	166878871	0
1441	FAM212B-AS1	chr1	+	112282462	112290420	7958	112290420	112290420	0
845	LARGE-AS1	chr22	+	34120971	34146803	25832	34146803	34146803	0
766	MIR4508	chr15	-	23807208	23807278	70	23807278	23807278	0
622	ZBTB9	chr6_ssto_hap7	+	4902599	4905564	2965	4903121	4904543	1422
866	C6orf89	chr6	+	36853639	36896740	43101	36853802	36891217	37415
109	BTBD9	chr6	-	38136226	38563843	427617	38142760	38562084	419324
1240	SFTPB	chr2	-	85884439	85895864	11425	85888595	85895342	6747
83	TEKT5	chr16	-	10721360	10788802	67442	10721439	10788730	67291
826	C6orf25	chr6	+	31691120	31694485	3365	31691160	31692851	1691
609	C6orf25	chr6_cox_hap2	+	3200737	3204102	3365	3200777	3202468	1691
752	LGI3	chr8	-	22004342	22014344	10002	22005672	22014055	8383
104	ZBTB9	chr6	+	33422355	33425320	2965	33422877	33424299	1422
800	ZSCAN26	chr6	+	28234787	28246000	11213	28239697	28244873	5176
988	KRT5	chr12	-	52908358	52914243	5885	52908725	52914080	5355
1753	L1CAM	chrX	-	153126968	153141500	14532	153128117	153141291	13174
146	TRPM6	chr9	-	77337410	77502636	165226	77339528	77502564	163036
604	ATP6V0C	chr16	+	2563726	2570224	6498	2564104	2569746	5642
978	SIGLEC9	chr19	+	51628136	51639520	11384	51628231	51639455	11224
151	PCLO	chr7	-	82449795	82792197	342402	82451793	82791908	340115
168	EML1	chr14	+	100259744	100408395	148651	100259813	100406449	146636
608	LY6G6C	chr6_mcf_hap5	-	3066107	3069194	3087	3066555	3069139	2584
2259	RQCD1	chr2	+	219433302	219461158	27856	219433677	219458999	25322
967	RRAS	chr19	-	50138551	50143400	4849	50138832	50143355	4523
1441	FAM212B	chr1	-	112264685	112282046	17361	112269589	112281864	12275
2266	OBSL1	chr2	-	220415449	220436268	20819	220415556	220435954	20398
922	SMG9	chr19	-	44235300	44259142	23842	44235747	44254893	19146
824	NEUROD6	chr7	-	31377074	31380538	3464	31377868	31378882	1014
253	GULP1	chr2	+	189156395	189460652	304257	189342429	189458738	116309
609	C4B_2	chr6_qbl_hap6	+	3243623	3264249	20626	3243674	3264108	20434
610	C4B_2	chr6_ssto_hap7	+	3282543	3303168	20625	3282594	3303027	20433
610	C4B_2	chr6_ssto_hap7	+	3315281	3335906	20625	3315332	3335765	20433
930	PTCH2	chr1	-	45285515	45308616	23101	45286360	45308604	22244
112	SCMH1	chr1	-	41492870	41628689	135819	41493865	41608748	114883
1034	FAM111B	chr11	+	58874657	58894888	20231	58891660	58893775	2115
970	VRK3	chr19	-	50479723	50528805	49082	50482350	50519419	37069
653	ENO1	chr1	-	8921058	8931635	10577	8921418	8928077	6659
214	EZH2	chr7	-	148504463	148580601	76138	148504737	148544390	39653
214	EZH2	chr7	-	148504463	148581441	76978	148504737	148544390	39653
673	NEIL2	chr8	+	11627171	11644854	17683	11628956	11643782	14826
1150	EXOC7	chr17	-	74077073	74099868	22795	74079728	74099773	20045
1239	GGCX	chr2	-	85771977	85788657	16680	85777056	85788551	11495
660	ARPC4	chr3	+	9834800	9848789	13989	9834805	9847899	13094
731	SLC25A1	chr22	-	19163087	19166376	3289	19163642	19166186	2544
2014	ZC3H15	chr2	+	187350884	187374087	23203	187351109	187373460	22351
17	CNTN3	chr3	-	74311721	74570343	258622	74313551	74570263	256712
717	USE1	chr19	+	17326154	17330638	4484	17326214	17330622	4408
78	PLGRKT	chr9	-	5357966	5437937	79971	5358238	5431977	73739
102	DCDC5	chr11	-	30885149	31014233	129084	30900130	30974027	73897
997	ERLEC1	chr2	+	54014067	54045956	31889	54014347	54045106	30759
597	SERPINF2	chr17	+	1646129	1658559	12430	1648289	1657828	9539
1081	POLA2	chr11	+	65029431	65065088	35657	65029763	65064740	34977
920	C11orf96	chr11	+	43964105	43965433	1328	43964454	43964823	369
104	NPR3	chr5	+	32711437	32791830	80393	32711882	32786451	74569
1572	LMX1B	chr9	+	129376721	129463311	86590	129376728	129458730	82002
802	PDX1	chr13	+	28494167	28500451	6284	28494275	28498838	4563
1270	PNRC1	chr6	+	89790428	89794879	4451	89790613	89793915	3302
28	MAP3K4	chr6	+	161412821	161538417	125596	161412963	161537902	124939
1907	ITGA6	chr2	+	173292313	173371181	78868	173292516	173366607	74091
1810	CD48	chr1	-	160648535	160681641	33106	160648841	160681553	32712
1181	SGSH	chr17	-	78183078	78194199	11121	78184250	78194112	9862
975	SYT3	chr19	-	51125233	51143092	17859	51125946	51140668	14722
745	RNASE9	chr14	-	21024251	21029090	4839	21024610	21026699	2089
592	CRHR1	chr17_ctg5_hap1	-	954314	1005883	51569	955379	1005618	50239
608	SLC44A4	chr6_dbb_hap3	-	3116555	3132405	15850	3116989	3132339	15350
1605	ZNF268	chr12	+	133757994	133783697	25703	133758583	133778903	20320
1605	ZNF268	chr12	+	133758059	133783697	25638	133768089	133781116	13027
108	ZCCHC7	chr9	+	37120468	37358145	237677	37126329	37357265	230936
243	ABL2	chr1	-	179068461	179198819	130358	179076852	179198532	121680
1557	EDRF1	chr10	+	127408083	127452712	44629	127408376	127452041	43665
94	SLC39A14	chr8	+	22224761	22291640	66879	22262223	22291517	29294
9	WFS1	chr4	+	6271576	6304992	33416	6279182	6304195	25013
88	PROM1	chr4	-	15969848	16077741	107893	15972689	16077529	104840
1749	ZFP92	chrX	+	152683780	152687086	3306	152683780	152687086	3306
978	DAZAP2	chr12	+	51632507	51640501	7994	51632691	51639928	7237
621	ZBTB22	chr6_mcf_hap5	-	4755923	4759462	3539	4756530	4758435	1905
619	ZBTB22	chr6_qbl_hap6	-	4514427	4517966	3539	4515034	4516939	1905
145	UBE2Q2	chr15	+	76136384	76193388	57004	76136694	76191799	55105
1769	FDPS	chr1	+	155278704	155290457	11753	155279580	155290400	10820
771	C1QTNF9B-AS1	chr13	+	24463591	24466242	2651	24465557	24466070	513
1625	CACFD1	chr9	+	136325086	136335909	10823	136325188	136333775	8587
104	SYN3	chr22	-	32908539	33454377	545838	32909678	33402647	492969
106	DSN1	chr20	-	35380193	35402230	22037	35381190	35399861	18671
1111	ARHGAP25	chr2	+	68961912	69053957	92045	68962331	69053326	90995
1126	CXorf49B	chrX	-	70934223	70938135	3912	70934501	70938001	3500
1126	CXorf49B	chrX	+	70983139	70987051	3912	70983273	70986773	3500
589	RASSF7	chr11	+	561449	564025	2576	561768	563569	1801
737	COMT	chr22	+	19939044	19957498	18454	19950049	19956259	6210
737	COMT	chr22	+	19938459	19957498	19039	19950049	19956259	6210
724	EVPLL	chr17	+	18281078	18292960	11882	18284251	18291562	7311
1654	MKRN1	chr7	-	140155982	140179369	23387	140156447	140179144	22697
827	PPP1R17	chr7	+	31726630	31748069	21439	31732055	31746897	14842
113	TMPRSS2	chr21	-	42836477	42879992	43515	42838068	42879931	41863
647	RIC3	chr11	-	8127596	8190590	62994	8132244	8190536	58292
123	FERMT2	chr14	-	53323988	53417815	93827	53325094	53417286	92192
1863	TCP10L2	chr6	+	167584080	167596396	12316	167585632	167595404	9772
79	GRID2IP	chr7	-	6536408	6591067	54659	6537404	6591067	53663
1740	AADACL2	chr3	+	151451703	151475556	23853	151451823	151475382	23559
946	C2orf61	chr2	-	47355586	47382517	26931	47357064	47382390	25326
177	AMMECR1	chrX	-	109437413	109561380	123967	109441747	109561299	119552
1022	ZIM2	chr19	-	57285922	57352097	66175	57286055	57335645	49590
790	MRPL39	chr21	-	26957967	26979801	21834	26958018	26979787	21769
1503	HGD	chr3	-	120347014	120401418	54404	120347226	120400958	53732
1766	MME	chr3	+	154797435	154901518	104083	154801956	154898248	96292
2246	TNP1	chr2	-	217724181	217724782	601	217724389	217724757	368
586	KIR2DS2	chr19_gl000209_random	+	131432	145743	14311	131467	145120	13653
1212	FABP5	chr8	+	82192717	82197012	4295	82192830	82196802	3972
1735	ARNT	chr1	-	150782180	150849244	67064	150784496	150849043	64547
735	TBX1	chr22	+	19744225	19771112	26887	19747166	19770545	23379
604	NDC80	chr18	+	2571509	2616634	45125	2572984	2616573	43589
1438	BCL2L11	chr2	+	111878490	111926022	47532	111881322	111911385	30063
75	DDX39B	chr6_cox_hap2	-	3007657	3019911	12254	3007872	3017969	10097
606	DDX39B	chr6_dbb_hap3	-	2783576	2795830	12254	2783791	2793887	10096
606	DDX39B	chr6_mann_hap4	-	2840911	2853148	12237	2841126	2851221	10095
1792	CD1E	chr1	+	158323485	158327343	3858	158323778	158326686	2908
838	ITGB1	chr10	-	33189245	33224486	35241	33195996	33224486	28490
23	SLC15A2	chr3	+	121613170	121663034	49864	121613323	121659854	46531
598	FGFR3	chr4	+	1795038	1810599	15561	1795661	1808989	13328
921	LOXHD1	chr18	-	44056934	44099049	42115	44057180	44098207	41027
80	ABLIM2	chr4	-	7967036	8160559	193523	7968716	8160416	191700
1282	FES	chr15	+	91428275	91439006	10731	91428275	91438788	10513
1457	PTGR1	chr9	-	114312001	114362135	50134	114312052	114359702	47650
987	NEK3	chr13	-	52706778	52733996	27218	52707277	52730326	23049
1457	PTGR1	chr9	-	114325246	114362135	36889	114325400	114359702	34302
1175	TSPAN3	chr15	-	77336359	77363570	27211	77339176	77363296	24120
1052	LRRC10B	chr11	+	61276271	61278490	2219	61276470	61277349	879
971	SNX20	chr16	-	50700210	50715264	15054	50701925	50711437	9512
182	TCF7L2	chr10	+	114710008	114927436	217428	114710515	114920420	209905
967	POLE2	chr14	-	50116898	50155098	38200	50116970	50154921	37951
217	GLRA1	chr5	-	151202073	151304397	102324	151202233	151304110	101877
898	ZFYVE19	chr15	+	41099273	41106767	7494	41099787	41106424	6637
159	BACH2	chr6	-	90636246	91006627	370381	90642126	90718563	76437
27	C3orf55	chr3	+	157261132	157296680	35548	157271046	157296122	25076
1675	GSTK1	chr7	+	142960521	142966222	5701	142960606	142965930	5324
606	ZFY	chrY	+	2803111	2850547	47436	2821977	2848034	26057
606	ZFY	chrY	+	2803517	2850547	47030	2829131	2848034	18903
829	TINAGL1	chr1	+	32043745	32053287	9542	32044809	32052580	7771
109	SRPX	chrX	-	38008587	38080177	71590	38008963	38080045	71082
90	TUBA8	chr22	+	18593452	18614498	21046	18604440	18613903	9463
593	MOG	chr6_cox_hap2	+	1143558	1158951	15393	1143787	1158021	14234
592	MOG	chr6_dbb_hap3	+	928110	943503	15393	928339	942577	14238
79	C18orf64	chr18	+	6511414	6590652	79238	6511500	6590543	79043
784	NOS2	chr17	-	26083791	26127555	43764	26084271	26125835	41564
793	IL4R	chr16	+	27325229	27376099	50870	27351524	27375151	23627
631	IL2RA	chr10	-	6052656	6104333	51677	6054834	6104114	49280
208	TFDP2	chr3	-	141663269	141868386	205117	141671354	141724285	52931
2359	PDE6D	chr2	-	232597134	232646037	48903	232597661	232645824	48163
992	PCDH8	chr13	-	53418108	53422775	4667	53418694	53422571	3877
1761	HAX1	chr1	+	154245038	154248355	3317	154245199	154248177	2978
888	TAB1	chr22	+	39795758	39827887	32129	39795807	39826227	30420
931	TOMM40	chr19	+	45394476	45406946	12470	45394672	45406426	11754
1769	RUSC1	chr1	+	155293727	155300909	7182	155294685	155300362	5677
180	AKAP2	chr9	+	112810877	112934791	123914	112810979	112930777	119798
161	RUNX1T1	chr8	-	92967194	93107882	140688	92972469	93107695	135226
1120	RAB3IP	chr12	+	70132465	70216984	84519	70149188	70209226	60038
622	PHF1	chr6_ssto_hap7	+	4859020	4864476	5456	4860288	4864121	3833
99	KIF18A	chr11	-	28042162	28129746	87584	28042746	28119494	76748
1050	CABLES2	chr20	-	60963685	60982339	18654	60966026	60982332	16306
599	ABHD17A	chr19	-	1876974	1885518	8544	1877198	1881565	4367
1280	IFIT1	chr10	+	91152302	91166244	13942	91162125	91163469	1344
1418	LIMS1	chr2	+	109271267	109303702	32435	109271530	109300455	28925
943	RBM10	chrX	+	47004616	47046214	41598	47006880	47045998	39118
595	ANKRD65	chr1	-	1353799	1356824	3025	1354479	1356385	1906
1563	IWS1	chr2	-	128238382	128284087	45705	128238619	128283784	45165
914	LEPRE1	chr1	-	43212005	43232755	20750	43212367	43232642	20275
14	RRP36	chr6	+	42989384	42997337	7953	42989392	42996966	7574
12	ASIC2	chr17	-	31340105	32483825	1143720	31340982	32483551	1142569
596	MIB2	chr1	+	1550794	1565990	15196	1550839	1565910	15071
880	CCR7	chr17	-	38710021	38721736	11715	38710993	38721661	10668
938	CCR3	chr3	+	46283871	46308197	24326	46306649	46307717	1068
1161	NDST2	chr10	-	75561668	75571589	9921	75562208	75568146	5938
858	IL7R	chr5	+	35856976	35879705	22729	35857079	35876588	19509
932	FKBP3	chr14	-	45584801	45603732	18931	45585400	45603659	18259
686	PHYH	chr10	-	13319795	13342130	22335	13320300	13342042	21742
2166	PFKFB2	chr1	+	207226619	207251162	24543	207228062	207245716	17654
889	MIEF1	chr22	+	39898283	39914137	15854	39907299	39910328	3029
1354	ARMCX6	chrX	-	100870107	100872991	2884	100870707	100871610	903
1021	SPIN2A	chrX	-	57162082	57164058	1976	57162253	57163030	777
206	PCDHA12	chr5	+	140254886	140391929	137043	140255057	140389522	134465
137	ETAA1	chr2	+	67624441	67637533	13092	67624580	67637170	12590
1150	LOC101929221	chr15	+	74060426	74062143	1717	74062143	74062143	0
865	SH3D21	chr1	+	36772707	36786948	14241	36772874	36786728	13854
184	ST7	chr7	+	116593380	116863961	270581	116593594	116863034	269440
226	GABRB2	chr5	-	160715435	160975130	259695	160721087	160973649	252562
630	RANBP3	chr19	-	5916151	5978320	62169	5917620	5978093	60473
15	PRKG1	chr10	+	52834233	54058110	1223877	52834350	54053660	1219310
890	HEYL	chr1	-	40089102	40105348	16246	40092178	40105297	13119
683	BEST2	chr19	+	12863406	12869271	5865	12863406	12868891	5485
20	FUT9	chr6	+	96463844	96663488	199644	96651031	96652111	1080
814	TBX6	chr16	-	30097114	30103205	6091	30097545	30102514	4969
1061	B3GNT2	chr2	+	62423261	62451866	28605	62449355	62450549	1194
128	AVIL	chr12	-	58191159	58209852	18693	58191664	58209823	18159
668	PDIA6	chr2	-	10923516	10972611	49095	10924383	10960990	36607
1814	NR1I3	chr1	-	161199455	161208000	8545	161199586	161206355	6769
115	CAMK2B	chr7	-	44256748	44365230	108482	44259660	44365020	105360
589	POLRMT	chr19	-	617222	633568	16346	617273	633512	16239
110	KCNK5	chr6	-	39156746	39197251	40505	39158665	39196887	38222
624	AKR1C3	chr10	+	5136567	5149878	13311	5136636	5149695	13059
635	DCHS1	chr11	-	6642554	6677080	34526	6643009	6662844	19835
170	FGF14	chr13	-	102373204	102568995	195791	102375180	102568995	193815
683	JUNB	chr19	+	12902309	12904125	1816	12902585	12903629	1044
13	EZH1	chr17	-	40852292	40897071	44779	40854549	40880959	26410
1192	HGS	chr17	+	79650961	79669151	18190	79651096	79668648	17552
987	FST	chr5	+	52776263	52782304	6041	52776621	52781518	4897
1022	UBE2L6	chr11	-	57319127	57335180	16053	57319830	57335084	15254
941	LCP1	chr13	-	46700057	46756459	56402	46701725	46733797	32072
1085	FIBP	chr11	-	65651210	65656010	4800	65651444	65655889	4445
783	LGALS9	chr17	+	25958173	25976586	18413	25958291	25976008	17717
884	LGALS7	chr19	-	39261607	39264157	2550	39261665	39264132	2467
1009	LGALS3	chr14	+	55595934	55612148	16214	55604091	55611989	7898
875	LGALS1	chr22	+	38071612	38075809	4197	38071709	38075756	4047
110	RPSA	chr3	+	39448203	39454032	5829	39449144	39453859	4715
1497	LAMP2	chrX	-	119560002	119603204	43202	119565177	119603024	37847
151	PRKG2	chr4	-	82008523	82075311	66788	82010861	82064094	53233
641	PRR23D1	chr8	+	7397148	7399972	2824	7397326	7399402	2076
643	PRR23D1	chr8	-	7636112	7638936	2824	7636682	7638758	2076
949	C21orf58	chr21	-	47721043	47738134	17091	47721912	47734920	13008
949	C21orf58	chr21	-	47720343	47740739	20396	47721912	47734920	13008
1501	CT47A7	chrX	-	120087136	120090454	3318	120088445	120090199	1754
187	CT47A8	chrX	-	120011344	120066151	54807	120064142	120065896	1754
167	RAP1GDS1	chr4	+	99182526	99365012	182486	99182716	99363268	180552
934	MUTYH	chr1	-	45794913	45805787	10874	45794977	45800177	5200
704	TBC1D26	chr17	+	15635590	15648098	12508	15638662	15645342	6680
157	KCNK10	chr14	-	88646451	88789593	143142	88651878	88789142	137264
118	PKD1L1	chr7	-	47814249	47988071	173822	47814740	47988037	173297
772	PSME1	chr14	+	24605366	24608176	2810	24605471	24608025	2554
772	PSME1	chr14	+	24605366	24608176	2810	24605471	24607969	2498
75	HCG22	chr6_ssto_hap7	+	2356207	2362626	6419	2362626	2362626	0
1308	SPTLC1	chr9	-	94793415	94877756	84341	94794594	94877652	83058
143	GFM2	chr5	-	74017028	74063196	46168	74017479	74060931	43452
97	ENKUR	chr10	-	25270907	25351208	80301	25273298	25350077	76779
143	PML	chr15	+	74287013	74335717	48704	74287153	74335521	48368
1544	GPR21	chr9	+	125795921	125797944	2023	125796845	125797895	1050
858	FFAR1	chr19	+	35842444	35843367	923	35842454	35843357	903
1886	FLJ38122	chr6	+	170581561	170588554	6993	170588554	170588554	0
104	LOC102031319	chr10	+	32636291	32663416	27125	32663416	32663416	0
1074	LOC283045	chr10	-	64099346	64134886	35540	64134886	64134886	0
1588	P4HA2-AS1	chr5	+	131520568	131528498	7930	131528498	131528498	0
265	IPO9-AS1	chr1	-	201657383	201798687	141304	201798687	201798687	0
883	MAP4K1	chr19	-	39078279	39108675	30396	39078387	39108535	30148
1274	LIPF	chr10	+	90424145	90438572	14427	90425297	90438438	13141
214	ORC4	chr2	-	148687965	148778330	90365	148693078	148716408	23330
214	ORC4	chr2	-	148687965	148778316	90351	148693078	148733527	40449
1814	B4GALT3	chr1	-	161141099	161147758	6659	161141605	161145850	4245
1591	GLRX3	chr10	+	131934638	131978646	44008	131934684	131977656	42972
934	MARK4	chr19	+	45754515	45808541	54026	45754846	45805968	51122
1368	SEMA4G	chr10	+	102732285	102745373	13088	102732669	102744650	11981
911	MX1	chr21	+	42797957	42831141	33184	42803997	42830685	26688
1198	ZFAND6	chr15	+	80364902	80430735	65833	80412686	80429970	17284
128	GCOM1	chr15	+	57884101	58009755	125654	57884232	58006877	122645
1198	ZFAND6	chr15	+	80352501	80430735	78234	80412686	80429970	17284
126	ERBB3	chr12	+	56473808	56497291	23483	56474084	56495839	21755
960	NME2	chr17	+	49243632	49249105	5473	49244191	49248965	4774
602	DDR1	chr6_mcf_hap5	+	2233817	2241824	8007	2238463	2241824	3361
114	TP53BP1	chr15	-	43699411	43802707	103296	43699580	43784658	85078
1425	AMPD2	chr1	+	110163202	110174677	11475	110163635	110173774	10139
949	STAU1	chr20	-	47729875	47804904	75029	47731414	47770570	39156
1274	LIPF	chr10	+	90424145	90438572	14427	90427054	90438438	11384
751	LDHB	chr12	-	21788274	21810789	22515	21788475	21807605	19130
733	UFD1L	chr22	-	19437463	19466738	29275	19438192	19466608	28416
1528	TRAF1	chr9	-	123664670	123689173	24503	123667297	123688353	21056
612	TP73	chr1	+	3569128	3652765	83637	3598929	3649326	50397
811	UQCRFS1	chr19	-	29698166	29704136	5970	29698454	29704025	5571
860	CCIN	chr9	+	36169388	36171331	1943	36169499	36171266	1767
210	GAB1	chr4	+	144257982	144395718	137736	144258341	144390342	132001
1351	DRP2	chrX	+	100474932	100519485	44553	100486636	100515610	28974
763	NXT1	chr20	+	23331372	23335408	4036	23334678	23335101	423
932	NUFIP1	chr13	-	45513383	45563613	50230	45515340	45563571	48231
590	FSTL3	chr19	+	676388	683392	7004	676423	681708	5285
12	DMD	chrX	-	31137344	32173586	1036242	31140035	31792238	652203
1767	ADAM15	chr1	+	155023747	155035252	11505	155023862	155034978	11116
892	EIF1B	chr3	+	40351172	40353915	2743	40351432	40353505	2073
102	DMD	chrX	-	31137344	31285024	147680	31139949	31284946	144997
88	AP1S2	chrX	-	15843928	15873137	29209	15845447	15870647	25200
102	DMD	chrX	-	31137344	31285024	147680	31140035	31284946	144911
12	DMD	chrX	-	31137344	31526415	389071	31140035	31526354	386319
867	CCNA1	chr13	+	37006408	37017019	10611	37006758	37016802	10044
788	ADRA1A	chr8	-	26627221	26722922	95701	26627665	26722486	94821
1348	MEPCE	chr7	+	100026412	100031749	5337	100029048	100031177	2129
147	ACSBG1	chr15	-	78463186	78527049	63863	78463785	78526843	63058
15	KIT	chr4	+	55524094	55606881	82787	55524181	55604723	80542
590	PDDC1	chr11	-	767222	777487	10265	770896	777462	6566
1879	SAMD7	chr3	+	169629481	169656948	27467	169637286	169656294	19008
990	POM121L12	chr7	+	53103348	53104618	1270	53103364	53104255	891
